relative_path,kind,size_bytes,sha256
source_data/original_data/MAGE-Graph/output_1079/graph/full_output.json,text-data,155447,78922f3c174322e3938a4fb3a225fedf772f2eee1e159e71024eae6996e4d813
source_data/original_data/MAGE-Graph/output_108/graph/full_output.json,text-data,104970,ddb5288c065e9cfd7bc6048f3adb3320e6454ac9ea4b273964ac5ee4229cb288
source_data/original_data/MAGE-Graph/output_1080/graph/full_output.json,text-data,182738,40bc6fed5095cd817684d3f6341c6d5a50eb71ed8f12e3e8cfc3e787b99be61d
source_data/original_data/MAGE-Graph/output_1081/graph/full_output.json,text-data,206068,6e6fe8dc3beefa6d1fd39265aee1f9bdad5f08429b30662b33fa0d54e746da49
source_data/original_data/MAGE-Graph/output_1082/graph/full_output.json,text-data,138646,36300c3d85f575df9346aced75d9595d7f53b19d3595d42094b48778ce485fea
source_data/original_data/MAGE-Graph/output_1083/graph/full_output.json,text-data,81073,9695b35a5bc386279a8e13a5e0261b17841805bd52f46ebad427773fb17ffc87
source_data/original_data/MAGE-Graph/output_1084/graph/full_output.json,text-data,138287,68fc9e620166a96063688f921abce0dce31182be338ad56569b7f348ad42b1b6
source_data/original_data/MAGE-Graph/output_1085/graph/full_output.json,text-data,164857,e5419e842d8ce7847044f9aea16a1d7dcc709b3c89d456c2e61a8d0c64238c96
source_data/original_data/MAGE-Graph/output_1086/graph/full_output.json,text-data,150522,ebc340b9ee0e0550f819a1bf5c6fb535e31f2144a6b88c54a6b9ad41f687fb96
source_data/original_data/MAGE-Graph/output_1087/graph/full_output.json,text-data,123978,d808ed6856ab379c9604380f2fd68b8d1b9186070da982c3cf7bb42fce16ea8e
source_data/original_data/MAGE-Graph/output_1088/graph/full_output.json,text-data,146314,7bec07bb16faf5f442e9f3d3ecca07d09462fd8a9335a3cbb63106b0db3b33dc
source_data/original_data/MAGE-Graph/output_1089/graph/full_output.json,text-data,120911,9358f2a09f35dc5b3386b397fefb58d8047ef9dacc1bddedad6b355a8da2edd6
source_data/original_data/MAGE-Graph/output_109/graph/full_output.json,text-data,111038,e2727bc5fa9ce159ddd7515265ba9c237eae538ee12e9b8ea00f2bec282c5bae
source_data/original_data/MAGE-Graph/output_1090/graph/full_output.json,text-data,155233,4763b07599055687ffd8b875edca77dff34d390e675c7f9f246de69ebb74a133
source_data/original_data/MAGE-Graph/output_1091/graph/full_output.json,text-data,101474,8903bff3ce842d4b0aee334b92304e87fe52a572aee263d4e7d35c62fa3b5192
source_data/original_data/MAGE-Graph/output_1092/graph/full_output.json,text-data,168408,cf1cafb4c1d1db67be0c9de1ecab834bc1bbdb5c4f6874a89e0de26a6c7d193d
source_data/original_data/MAGE-Graph/output_1093/graph/full_output.json,text-data,998631,f905eda5aa6fb51bffb870b0dfa8d85149099f14ccf1daa0b33df734954970f5
source_data/original_data/MAGE-Graph/output_1094/graph/full_output.json,text-data,85940,dfdea0c34f01f0b981430e31ee7efdf17ea51a6d00e64898dcca23666f12c715
source_data/original_data/MAGE-Graph/output_1095/graph/full_output.json,text-data,111904,945f12b77e607b134d68a77b29c1440bf8ac2c05b2c150d17f8fae2eca6d86e8
